Synthetic,"This flight is SYNTHETIC — numbers Debrief made up to demonstrate what it can read. It is not a recording of anything, nothing here was flown, and no figure from it means anything about a real rocket."
24.30,4951.5,-24.6,1.00
24.35,4950.3,-24.6,1.00
24.40,4949.1,-24.6,1.00
24.45,4947.9,-24.6,1.00
24.50,4946.6,-24.6,1.00
24.55,4945.4,-24.6,1.00
24.60,4944.2,-24.6,1.00
24.65,4942.9,-24.6,1.00
24.70,4941.7,-24.6,1.00
24.75,4940.5,-24.6,1.00
24.80,4939.2,-24.6,1.00
24.85,4938.0,-24.6,1.00
24.90,4936.8,-24.6,1.00
24.95,4935.6,-24.6,1.00
25.00,4934.3,-24.6,1.00
25.05,4933.1,-24.6,1.00
25.10,4931.9,-24.6,1.00
25.15,4930.6,-24.6,1.00
25.20,4929.4,-24.6,1.00
25.25,4928.2,-24.6,1.00
25.30,4926.9,-24.6,1.00
25.35,4925.7,-24.6,1.00
25.40,4924.5,-24.6,1.00
25.45,4923.3,-24.6,1.00
25.50,4922.0,-24.6,1.00
25.55,4920.8,-24.6,1.00
25.60,4919.6,-24.6,1.00
25.65,4918.3,-24.6,1.00
25.70,4917.1,-24.6,1.00
25.75,4915.9,-24.6,1.00
25.80,4914.6,-24.6,1.00
25.85,4913.4,-24.6,1.00
25.90,4912.2,-24.6,1.00
25.95,4911.0,-24.6,1.00
26.00,4909.7,-24.6,1.00
26.05,4908.5,-24.6,1.00
26.10,4907.3,-24.6,1.00
26.15,4906.0,-24.6,1.00
26.20,4904.8,-24.6,1.00
26.25,4903.6,-24.6,1.00
26.30,4902.3,-24.6,1.00
26.35,4901.1,-24.6,1.00
26.40,4899.9,-24.6,1.00
26.45,4898.7,-24.6,1.00
26.50,4897.4,-24.6,1.00
26.55,4896.2,-24.6,1.00
26.60,4894.9,-24.6,1.00
26.65,4893.7,-24.6,1.00
26.70,4892.5,-24.6,1.00
26.75,4891.3,-24.6,1.00
26.80,4890.0,-24.6,1.00
26.85,4888.8,-24.6,1.00
26.90,4887.6,-24.6,1.00
26.95,4886.4,-24.6,1.00
27.00,4885.1,-24.6,1.00
27.05,4883.9,-24.6,1.00
27.10,4882.6,-24.6,1.00
27.15,4881.4,-24.6,1.00
27.20,4880.2,-24.6,1.00
27.25,4879.0,-24.6,1.00
27.30,4877.7,-24.6,1.00
27.35,4876.5,-24.6,1.00
27.40,4875.3,-24.6,1.00
27.45,4874.0,-24.6,1.00
27.50,4872.8,-24.6,1.00
27.55,4871.6,-24.6,1.00
27.60,4870.3,-24.6,1.00
27.65,4869.1,-24.6,1.00
27.70,4867.9,-24.6,1.00
27.75,4866.7,-24.6,1.00
27.80,4865.4,-24.6,1.00
27.85,4864.2,-24.6,1.00
27.90,4863.0,-24.6,1.00
27.95,4861.7,-24.6,1.00
28.00,4860.5,-24.6,1.00
28.05,4859.3,-24.6,1.00
28.10,4858.0,-24.6,1.00
28.15,4856.8,-24.6,1.00
28.20,4855.6,-24.6,1.00
28.25,4854.4,-24.6,1.00
28.30,4853.1,-24.6,1.00
28.35,4851.9,-24.6,1.00
28.40,4850.7,-24.6,1.00
28.45,4849.4,-24.6,1.00
28.50,4848.2,-24.6,1.00
28.55,4847.0,-24.6,1.00
28.60,4845.7,-24.6,1.00
28.65,4844.5,-24.6,1.00
28.70,4843.3,-24.6,1.00
28.75,4842.1,-24.6,1.00
28.80,4840.8,-24.6,1.00
28.85,4839.6,-24.6,1.00
28.90,4838.4,-24.6,1.00
28.95,4837.1,-24.6,1.00
29.00,4835.9,-24.6,1.00
29.05,4834.7,-24.6,1.00
29.10,4833.4,-24.6,1.00
29.15,4832.2,-24.6,1.00
29.20,4831.0,-24.6,1.00
29.25,4829.8,-24.6,1.00
29.30,4828.5,-24.6,1.00
29.35,4827.3,-24.6,1.00
29.40,4826.0,-24.6,1.00
29.45,4824.8,-24.6,1.00
29.50,4823.6,-24.6,1.00
29.55,4822.4,-24.6,1.00
29.60,4821.1,-24.6,1.00
29.65,4819.9,-24.6,1.00
29.70,4818.7,-24.6,1.00
29.75,4817.5,-24.6,1.00
29.80,4816.2,-24.6,1.00
29.85,4815.0,-24.6,1.00
29.90,4813.7,-24.6,1.00
29.95,4812.5,-24.6,1.00
30.00,4811.3,-24.6,1.00
30.05,4810.1,-24.6,1.00
30.10,4808.8,-24.6,1.00
30.15,4807.6,-24.6,1.00
30.20,4806.4,-24.6,1.00
30.25,4805.2,-24.6,1.00
30.30,4803.9,-24.6,1.00
30.35,4802.7,-24.6,1.00
30.40,4801.4,-24.6,1.00
30.45,4800.2,-24.6,1.00
30.50,4799.0,-24.6,1.00
30.55,4797.8,-24.6,1.00
30.60,4796.5,-24.6,1.00
30.65,4795.3,-24.6,1.00
30.70,4794.1,-24.6,1.00
30.75,4792.8,-24.6,1.00
30.80,4791.6,-24.6,1.00
30.85,4790.4,-24.6,1.00
30.90,4789.1,-24.6,1.00
30.95,4787.9,-24.6,1.00
31.00,4786.7,-24.6,1.00
31.05,4785.5,-24.6,1.00
31.10,4784.2,-24.6,1.00
31.15,4783.0,-24.6,1.00
31.20,4781.8,-24.6,1.00
31.25,4780.5,-24.6,1.00
31.30,4779.3,-24.6,1.00
31.35,4778.1,-24.6,1.00
31.40,4776.8,-24.6,1.00
31.45,4775.6,-24.6,1.00
31.50,4774.4,-24.6,1.00
31.55,4773.2,-24.6,1.00
31.60,4771.9,-24.6,1.00
31.65,4770.7,-24.6,1.00
31.70,4769.5,-24.6,1.00
31.75,4768.2,-24.6,1.00
31.80,4767.0,-24.6,1.00
31.85,4765.8,-24.6,1.00
31.90,4764.5,-24.6,1.00
31.95,4763.3,-24.6,1.00
32.00,4762.1,-24.6,1.00
32.05,4760.9,-24.6,1.00
32.10,4759.6,-24.6,1.00
32.15,4758.4,-24.6,1.00
32.20,4757.2,-24.6,1.00
32.25,4755.9,-24.6,1.00
32.30,4754.7,-24.6,1.00
32.35,4753.5,-24.6,1.00
32.40,4752.2,-24.6,1.00
32.45,4751.0,-24.6,1.00
32.50,4749.8,-24.6,1.00
32.55,4748.6,-24.6,1.00
32.60,4747.3,-24.6,1.00
32.65,4746.1,-24.6,1.00
32.70,4744.8,-24.6,1.00
32.75,4743.6,-24.6,1.00
32.80,4742.4,-24.6,1.00
32.85,4741.2,-24.6,1.00
32.90,4739.9,-24.6,1.00
32.95,4738.7,-24.6,1.00
33.00,4737.5,-24.6,1.00
33.05,4736.3,-24.6,1.00
33.10,4735.0,-24.6,1.00
33.15,4733.8,-24.6,1.00
33.20,4732.5,-24.6,1.00
33.25,4731.3,-24.6,1.00
33.30,4730.1,-24.6,1.00
33.35,4728.9,-24.6,1.00
33.40,4727.6,-24.6,1.00
33.45,4726.4,-24.6,1.00
33.50,4725.2,-24.6,1.00
33.55,4724.0,-24.6,1.00
33.60,4722.7,-24.6,1.00
33.65,4721.5,-24.6,1.00
33.70,4720.2,-24.6,1.00
33.75,4719.0,-24.6,1.00
33.80,4717.8,-24.6,1.00
33.85,4716.6,-24.6,1.00
33.90,4715.3,-24.6,1.00
33.95,4714.1,-24.6,1.00
34.00,4712.9,-24.6,1.00
34.05,4711.6,-24.6,1.00
34.10,4710.4,-24.6,1.00
34.15,4709.2,-24.6,1.00
34.20,4707.9,-24.6,1.00
34.25,4706.7,-24.6,1.00
34.30,4705.5,-24.6,1.00
34.35,4704.3,-24.6,1.00
34.40,4703.0,-24.6,1.00
34.45,4701.8,-24.6,1.00
34.50,4700.6,-24.6,1.00
34.55,4699.3,-24.6,1.00
34.60,4698.1,-24.6,1.00
34.65,4696.9,-24.6,1.00
34.70,4695.6,-24.6,1.00
34.75,4694.4,-24.6,1.00
34.80,4693.2,-24.6,1.00
34.85,4692.0,-24.6,1.00
34.90,4690.7,-24.6,1.00
34.95,4689.5,-24.6,1.00
35.00,4688.3,-24.6,1.00
35.05,4687.0,-24.6,1.00
35.10,4685.8,-24.6,1.00
35.15,4684.6,-24.6,1.00
35.20,4683.3,-24.6,1.00
35.25,4682.1,-24.6,1.00
35.30,4680.9,-24.6,1.00
35.35,4679.7,-24.6,1.00
35.40,4678.4,-24.6,1.00
35.45,4677.2,-24.6,1.00
35.50,4676.0,-24.6,1.00
35.55,4674.7,-24.6,1.00
35.60,4673.5,-24.6,1.00
35.65,4672.3,-24.6,1.00
35.70,4671.0,-24.6,1.00
35.75,4669.8,-24.6,1.00
35.80,4668.6,-24.6,1.00
35.85,4667.4,-24.6,1.00
35.90,4666.1,-24.6,1.00
35.95,4664.9,-24.6,1.00
36.00,4663.6,-24.6,1.00
36.05,4662.4,-24.6,1.00
36.10,4661.2,-24.6,1.00
36.15,4660.0,-24.6,1.00
36.20,4658.7,-24.6,1.00
36.25,4657.5,-24.6,1.00
36.30,4656.3,-24.6,1.00
36.35,4655.1,-24.6,1.00
36.40,4653.8,-24.6,1.00
36.45,4652.6,-24.6,1.00
36.50,4651.3,-24.6,1.00
36.55,4650.1,-24.6,1.00
36.60,4648.9,-24.6,1.00
36.65,4647.7,-24.6,1.00
36.70,4646.4,-24.6,1.00
36.75,4645.2,-24.6,1.00
36.80,4644.0,-24.6,1.00
36.85,4642.7,-24.6,1.00
36.90,4641.5,-24.6,1.00
36.95,4640.3,-24.6,1.00
37.00,4639.0,-24.6,1.00
37.05,4637.8,-24.6,1.00
37.10,4636.6,-24.6,1.00
37.15,4635.4,-24.6,1.00
37.20,4634.1,-24.6,1.00
37.25,4632.9,-24.6,1.00
37.30,4631.7,-24.6,1.00
37.35,4630.4,-24.6,1.00
37.40,4629.2,-24.6,1.00
37.45,4628.0,-24.6,1.00
37.50,4626.7,-24.6,1.00
37.55,4625.5,-24.6,1.00
37.60,4624.3,-24.6,1.00
37.65,4623.1,-24.6,1.00
37.70,4621.8,-24.6,1.00
37.75,4620.6,-24.6,1.00
37.80,4619.4,-24.6,1.00
37.85,4618.1,-24.6,1.00
37.90,4616.9,-24.6,1.00
37.95,4615.7,-24.6,1.00
38.00,4614.4,-24.6,1.00
38.05,4613.2,-24.6,1.00
38.10,4612.0,-24.6,1.00
38.15,4610.8,-24.6,1.00
38.20,4609.5,-24.6,1.00
38.25,4608.3,-24.6,1.00
38.30,4607.1,-24.6,1.00
38.35,4605.8,-24.6,1.00
38.40,4604.6,-24.6,1.00
38.45,4603.4,-24.6,1.00
38.50,4602.1,-24.6,1.00
38.55,4600.9,-24.6,1.00
38.60,4599.7,-24.6,1.00
38.65,4598.5,-24.6,1.00
38.70,4597.2,-24.6,1.00
38.75,4596.0,-24.6,1.00
38.80,4594.8,-24.6,1.00
38.85,4593.5,-24.6,1.00
38.90,4592.3,-24.6,1.00
38.95,4591.1,-24.6,1.00
39.00,4589.8,-24.6,1.00
39.05,4588.6,-24.6,1.00
39.10,4587.4,-24.6,1.00
39.15,4586.2,-24.6,1.00
39.20,4584.9,-24.6,1.00
39.25,4583.7,-24.6,1.00
39.30,4582.4,-24.6,1.00
39.35,4581.2,-24.6,1.00
39.40,4580.0,-24.6,1.00
39.45,4578.8,-24.6,1.00
39.50,4577.5,-24.6,1.00
39.55,4576.3,-24.6,1.00
39.60,4575.1,-24.6,1.00
39.65,4573.9,-24.6,1.00
39.70,4572.6,-24.6,1.00
39.75,4571.4,-24.6,1.00
39.80,4570.1,-24.6,1.00
39.85,4568.9,-24.6,1.00
