Synthetic,"This flight is SYNTHETIC — numbers Debrief made up to demonstrate what it can read. It is not a recording of anything, nothing here was flown, and no figure from it means anything about a real rocket."
Demonstrates,"the sustainer half of the same staged launch, on a second altimeter"
Stage,"sustainer"
Columns,"The column names below are the ones an Eggtimer Classic writes, so that Debrief reads this file without being told about it. No Eggtimer recorded anything here and no device of any kind did: see the Synthetic row above."

T,Alt,VRaw,VFilt
14.30,3605.6,677.8,677.8
14.35,3639.4,676.2,676.2
14.40,3673.2,674.6,674.6
14.45,3706.8,673.0,673.0
14.50,3740.4,671.4,671.4
14.55,3773.9,669.8,669.8
14.60,3807.3,668.1,668.1
14.65,3840.6,666.5,666.5
14.70,3873.8,664.9,664.9
14.75,3907.0,663.3,663.3
14.80,3940.1,661.7,661.7
14.85,3973.1,660.1,660.1
14.90,4006.0,658.5,658.5
14.95,4038.8,656.9,656.9
15.00,4071.6,655.2,655.2
15.05,4104.3,653.6,653.6
15.10,4136.9,652.0,652.0
15.15,4169.4,650.4,650.4
15.20,4201.9,648.8,648.8
15.25,4234.2,647.2,647.2
15.30,4266.5,645.6,645.6
15.35,4298.7,644.0,644.0
15.40,4330.8,642.4,642.4
15.45,4362.9,640.8,640.8
15.50,4394.8,639.2,639.2
15.55,4426.7,637.6,637.6
15.60,4458.5,636.0,636.0
15.65,4490.2,634.4,634.4
15.70,4521.9,632.7,632.7
15.75,4553.4,631.1,631.1
15.80,4584.9,629.5,629.5
15.85,4616.3,627.9,627.9
15.90,4647.6,626.3,626.3
15.95,4678.8,624.7,624.7
16.00,4710.0,623.1,623.1
16.05,4741.0,621.5,621.5
16.10,4772.0,619.9,619.9
16.15,4803.0,618.3,618.3
16.20,4833.8,616.7,616.7
16.25,4864.5,615.1,615.1
16.30,4895.2,613.4,613.4
16.35,4925.8,611.8,611.8
16.40,4956.3,610.2,610.2
16.45,4986.7,608.6,608.6
16.50,5017.1,607.0,607.0
16.55,5047.4,605.4,605.4
16.60,5077.6,603.8,603.8
16.65,5107.7,602.2,602.2
16.70,5137.7,600.6,600.6
16.75,5167.7,599.0,599.0
16.80,5197.5,597.3,597.3
16.85,5227.3,595.7,595.7
16.90,5257.0,594.1,594.1
16.95,5286.6,592.5,592.5
17.00,5316.2,590.9,590.9
17.05,5345.6,589.3,589.3
17.10,5375.0,587.7,587.7
17.15,5404.3,586.1,586.1
17.20,5433.6,584.5,584.5
17.25,5462.7,582.9,582.9
17.30,5491.8,581.3,581.3
17.35,5520.7,579.7,579.7
17.40,5549.6,578.1,578.1
17.45,5578.5,576.4,576.4
17.50,5607.2,574.8,574.8
17.55,5635.9,573.2,573.2
17.60,5664.5,571.6,571.6
17.65,5692.9,570.0,570.0
17.70,5721.4,568.4,568.4
17.75,5749.7,566.8,566.8
17.80,5778.0,565.2,565.2
17.85,5806.1,563.5,563.5
17.90,5834.3,561.9,561.9
17.95,5862.3,560.3,560.3
18.00,5890.2,558.7,558.7
18.05,5918.0,557.1,557.1
18.10,5945.8,555.5,555.5
18.15,5973.5,553.9,553.9
18.20,6001.1,552.3,552.3
18.25,6028.7,550.7,550.7
18.30,6056.1,549.1,549.1
18.35,6083.5,547.5,547.5
18.40,6110.8,545.9,545.9
18.45,6138.0,544.3,544.3
18.50,6165.2,542.7,542.7
18.55,6192.2,541.0,541.0
18.60,6219.2,539.4,539.4
18.65,6246.1,537.8,537.8
18.70,6272.9,536.2,536.2
18.75,6299.6,534.6,534.6
18.80,6326.2,533.0,533.0
18.85,6352.8,531.4,531.4
18.90,6379.3,529.8,529.8
18.95,6405.7,528.2,528.2
19.00,6432.1,526.6,526.6
19.05,6458.3,525.0,525.0
19.10,6484.4,523.4,523.4
19.15,6510.6,521.8,521.8
19.20,6536.5,520.1,520.1
19.25,6562.5,518.5,518.5
19.30,6588.3,516.9,516.9
19.35,6614.1,515.3,515.3
19.40,6639.8,513.7,513.7
19.45,6665.4,512.1,512.1
19.50,6690.9,510.5,510.5
19.55,6716.3,508.9,508.9
19.60,6741.7,507.3,507.3
19.65,6767.0,505.6,505.6
19.70,6792.2,504.0,504.0
19.75,6817.3,502.4,502.4
19.80,6842.4,500.8,500.8
19.85,6867.3,499.2,499.2
19.90,6892.2,497.6,497.6
19.95,6917.0,496.0,496.0
20.00,6941.7,494.4,494.4
20.05,6966.4,492.8,492.8
20.10,6990.9,491.2,491.2
20.15,7015.4,489.6,489.6
20.20,7039.8,488.0,488.0
20.25,7064.1,486.4,486.4
20.30,7088.4,484.7,484.7
20.35,7112.5,483.1,483.1
20.40,7136.6,481.5,481.5
20.45,7160.6,479.9,479.9
20.50,7184.5,478.3,478.3
20.55,7208.3,476.7,476.7
20.60,7232.1,475.1,475.1
20.65,7255.7,473.5,473.5
20.70,7279.4,471.9,471.9
20.75,7302.9,470.3,470.3
20.80,7326.3,468.6,468.6
20.85,7349.6,467.0,467.0
20.90,7372.9,465.4,465.4
20.95,7396.1,463.8,463.8
21.00,7419.2,462.2,462.2
21.05,7442.3,460.6,460.6
21.10,7465.2,459.0,459.0
21.15,7488.1,457.4,457.4
21.20,7510.9,455.8,455.8
21.25,7533.6,454.2,454.2
21.30,7556.2,452.6,452.6
21.35,7578.7,451.0,451.0
21.40,7601.2,449.3,449.3
21.45,7623.6,447.7,447.7
21.50,7645.9,446.1,446.1
21.55,7668.1,444.5,444.5
21.60,7690.3,442.9,442.9
21.65,7712.3,441.3,441.3
21.70,7734.3,439.7,439.7
21.75,7756.2,438.1,438.1
21.80,7778.1,436.5,436.5
21.85,7799.8,434.9,434.9
21.90,7821.5,433.3,433.3
21.95,7843.0,431.7,431.7
22.00,7864.5,430.1,430.1
22.05,7886.0,428.4,428.4
22.10,7907.3,426.8,426.8
22.15,7928.6,425.2,425.2
22.20,7949.7,423.6,423.6
22.25,7970.9,422.0,422.0
22.30,7991.9,420.4,420.4
22.35,8012.8,418.8,418.8
22.40,8033.7,417.2,417.2
22.45,8054.5,415.6,415.6
22.50,8075.1,413.9,413.9
22.55,8095.8,412.3,412.3
22.60,8116.3,410.7,410.7
22.65,8136.7,409.1,409.1
22.70,8157.1,407.5,407.5
22.75,8177.4,405.9,405.9
22.80,8197.6,404.3,404.3
22.85,8217.8,402.7,402.7
22.90,8237.8,401.1,401.1
22.95,8257.8,399.5,399.5
23.00,8277.7,397.9,397.9
23.05,8297.5,396.3,396.3
23.10,8317.3,394.7,394.7
23.15,8336.9,393.0,393.0
23.20,8356.5,391.4,391.4
23.25,8376.0,389.8,389.8
23.30,8395.4,388.2,388.2
23.35,8414.7,386.6,386.6
23.40,8434.0,385.0,385.0
23.45,8453.1,383.4,383.4
23.50,8472.2,381.8,381.8
23.55,8491.2,380.2,380.2
23.60,8510.1,378.6,378.6
23.65,8529.0,377.0,377.0
23.70,8547.8,375.4,375.4
23.75,8566.4,373.8,373.8
23.80,8585.0,372.1,372.1
23.85,8603.6,370.5,370.5
23.90,8622.0,368.9,368.9
23.95,8640.4,367.3,367.3
24.00,8658.7,365.7,365.7
24.05,8676.9,364.1,364.1
24.10,8695.0,362.5,362.5
24.15,8713.1,360.9,360.9
24.20,8731.0,359.3,359.3
24.25,8748.9,357.6,357.6
24.30,8766.7,356.0,356.0
24.35,8784.4,354.4,354.4
24.40,8802.1,352.8,352.8
24.45,8819.6,351.2,351.2
24.50,8837.1,349.6,349.6
24.55,8854.5,348.0,348.0
24.60,8871.8,346.4,346.4
24.65,8889.0,344.8,344.8
24.70,8906.2,343.2,343.2
24.75,8923.3,341.6,341.6
24.80,8940.3,340.0,340.0
24.85,8957.2,338.4,338.4
24.90,8974.0,336.7,336.7
24.95,8990.8,335.1,335.1
25.00,9007.5,333.5,333.5
25.05,9024.1,331.9,331.9
25.10,9040.6,330.3,330.3
25.15,9057.0,328.7,328.7
25.20,9073.4,327.1,327.1
25.25,9089.7,325.5,325.5
25.30,9105.8,323.9,323.9
25.35,9121.9,322.2,322.2
25.40,9138.0,320.6,320.6
25.45,9153.9,319.0,319.0
25.50,9169.8,317.4,317.4
25.55,9185.6,315.8,315.8
25.60,9201.3,314.2,314.2
25.65,9217.0,312.6,312.6
25.70,9232.5,311.0,311.0
25.75,9248.0,309.4,309.4
25.80,9263.4,307.8,307.8
25.85,9278.7,306.2,306.2
25.90,9293.9,304.6,304.6
25.95,9309.1,303.0,303.0
26.00,9324.1,301.3,301.3
26.05,9339.1,299.7,299.7
26.10,9354.0,298.1,298.1
26.15,9368.8,296.5,296.5
26.20,9383.6,294.9,294.9
26.25,9398.2,293.3,293.3
26.30,9412.8,291.7,291.7
26.35,9427.3,290.1,290.1
26.40,9441.8,288.5,288.5
26.45,9456.1,286.9,286.9
26.50,9470.3,285.3,285.3
26.55,9484.5,283.7,283.7
26.60,9498.7,282.1,282.1
26.65,9512.7,280.4,280.4
26.70,9526.6,278.8,278.8
26.75,9540.5,277.2,277.2
26.80,9554.2,275.6,275.6
26.85,9567.9,274.0,274.0
26.90,9581.6,272.4,272.4
26.95,9595.1,270.8,270.8
27.00,9608.6,269.2,269.2
27.05,9621.9,267.6,267.6
27.10,9635.2,265.9,265.9
27.15,9648.5,264.3,264.3
27.20,9661.6,262.7,262.7
27.25,9674.6,261.1,261.1
27.30,9687.6,259.5,259.5
27.35,9700.5,257.9,257.9
27.40,9713.3,256.3,256.3
27.45,9726.1,254.7,254.7
27.50,9738.7,253.1,253.1
27.55,9751.3,251.5,251.5
27.60,9763.8,249.9,249.9
27.65,9776.2,248.3,248.3
27.70,9788.5,246.7,246.7
27.75,9800.8,245.0,245.0
27.80,9813.0,243.4,243.4
27.85,9825.1,241.8,241.8
27.90,9837.1,240.2,240.2
27.95,9849.0,238.6,238.6
28.00,9860.9,237.0,237.0
28.05,9872.6,235.4,235.4
28.10,9884.3,233.8,233.8
28.15,9895.9,232.2,232.2
28.20,9907.4,230.6,230.6
28.25,9918.9,229.0,229.0
28.30,9930.2,227.4,227.4
28.35,9941.5,225.7,225.7
28.40,9952.8,224.1,224.1
28.45,9963.9,222.5,222.5
28.50,9974.9,220.9,220.9
28.55,9985.9,219.3,219.3
28.60,9996.8,217.7,217.7
28.65,10007.6,216.1,216.1
28.70,10018.3,214.5,214.5
28.75,10028.9,212.9,212.9
28.80,10039.5,211.3,211.3
28.85,10050.0,209.6,209.6
28.90,10060.4,208.0,208.0
28.95,10070.7,206.4,206.4
29.00,10080.9,204.8,204.8
29.05,10091.1,203.2,203.2
29.10,10101.2,201.6,201.6
29.15,10111.2,200.0,200.0
29.20,10121.1,198.4,198.4
29.25,10130.9,196.8,196.8
29.30,10140.7,195.2,195.2
29.35,10150.4,193.6,193.6
29.40,10160.0,192.0,192.0
29.45,10169.5,190.4,190.4
29.50,10178.9,188.7,188.7
29.55,10188.3,187.1,187.1
29.60,10197.6,185.5,185.5
29.65,10206.8,183.9,183.9
29.70,10215.9,182.3,182.3
29.75,10224.9,180.7,180.7
29.80,10233.9,179.1,179.1
29.85,10242.7,177.5,177.5
29.90,10251.5,175.9,175.9
29.95,10260.2,174.2,174.2
30.00,10268.9,172.6,172.6
30.05,10277.4,171.0,171.0
30.10,10285.9,169.4,169.4
30.15,10294.3,167.8,167.8
30.20,10302.6,166.2,166.2
30.25,10310.8,164.6,164.6
30.30,10319.0,163.0,163.0
30.35,10327.1,161.4,161.4
30.40,10335.0,159.8,159.8
30.45,10342.9,158.2,158.2
30.50,10350.8,156.6,156.6
30.55,10358.5,155.0,155.0
30.60,10366.2,153.3,153.3
30.65,10373.8,151.7,151.7
30.70,10381.3,150.1,150.1
30.75,10388.7,148.5,148.5
30.80,10396.1,146.9,146.9
30.85,10403.3,145.3,145.3
30.90,10410.5,143.7,143.7
30.95,10417.6,142.1,142.1
31.00,10424.6,140.5,140.5
31.05,10431.6,138.9,138.9
31.10,10438.5,137.3,137.3
31.15,10445.2,135.7,135.7
31.20,10451.9,134.1,134.1
31.25,10458.6,132.4,132.4
31.30,10465.1,130.8,130.8
31.35,10471.6,129.2,129.2
31.40,10478.0,127.6,127.6
31.45,10484.3,126.0,126.0
31.50,10490.5,124.4,124.4
31.55,10496.6,122.8,122.8
31.60,10502.7,121.2,121.2
31.65,10508.6,119.6,119.6
31.70,10514.5,117.9,117.9
31.75,10520.3,116.3,116.3
31.80,10526.1,114.7,114.7
31.85,10531.7,113.1,113.1
31.90,10537.3,111.5,111.5
31.95,10542.8,109.9,109.9
32.00,10548.2,108.3,108.3
32.05,10553.6,106.7,106.7
32.10,10558.8,105.1,105.1
32.15,10564.0,103.5,103.5
32.20,10569.1,101.9,101.9
32.25,10574.1,100.3,100.3
32.30,10579.0,98.7,98.7
32.35,10583.9,97.0,97.0
32.40,10588.6,95.4,95.4
32.45,10593.3,93.8,93.8
32.50,10598.0,92.2,92.2
32.55,10602.5,90.6,90.6
32.60,10606.9,89.0,89.0
32.65,10611.3,87.4,87.4
32.70,10615.6,85.8,85.8
32.75,10619.8,84.2,84.2
32.80,10623.9,82.6,82.6
32.85,10628.0,80.9,80.9
32.90,10632.0,79.3,79.3
32.95,10635.8,77.7,77.7
33.00,10639.6,76.1,76.1
33.05,10643.4,74.5,74.5
33.10,10647.0,72.9,72.9
33.15,10650.6,71.3,71.3
33.20,10654.1,69.7,69.7
33.25,10657.4,68.1,68.1
33.30,10660.8,66.5,66.5
33.35,10664.0,64.9,64.9
33.40,10667.2,63.3,63.3
33.45,10670.3,61.6,61.6
33.50,10673.3,60.0,60.0
33.55,10676.2,58.4,58.4
33.60,10679.0,56.8,56.8
33.65,10681.8,55.2,55.2
33.70,10684.5,53.6,53.6
33.75,10687.1,52.0,52.0
33.80,10689.6,50.4,50.4
33.85,10692.0,48.8,48.8
33.90,10694.4,47.2,47.2
33.95,10696.7,45.6,45.6
34.00,10698.9,44.0,44.0
34.05,10701.0,42.4,42.4
34.10,10703.0,40.7,40.7
34.15,10705.0,39.1,39.1
34.20,10706.9,37.5,37.5
34.25,10708.7,35.9,35.9
34.30,10710.4,34.3,34.3
34.35,10712.0,32.7,32.7
34.40,10713.5,31.1,31.1
34.45,10715.0,29.5,29.5
34.50,10716.4,27.9,27.9
34.55,10717.7,26.2,26.2
34.60,10719.0,24.6,24.6
34.65,10720.1,23.0,23.0
34.70,10721.2,21.4,21.4
34.75,10722.2,19.8,19.8
34.80,10723.1,18.2,18.2
34.85,10723.9,16.6,16.6
34.90,10724.7,15.0,15.0
34.95,10725.4,13.4,13.4
35.00,10726.0,11.8,11.8
35.05,10726.4,10.2,10.2
35.10,10726.9,8.6,8.6
35.15,10727.2,7.0,7.0
35.20,10727.5,5.3,5.3
35.25,10727.7,3.7,3.7
35.30,10727.8,2.1,2.1
35.35,10727.8,0.5,0.5
35.45,10724.5,-65.6,-65.6
35.50,10721.2,-65.6,-65.6
35.55,10717.9,-65.6,-65.6
35.60,10714.6,-65.6,-65.6
35.65,10711.4,-65.6,-65.6
35.70,10708.1,-65.6,-65.6
35.75,10704.8,-65.6,-65.6
35.80,10701.5,-65.6,-65.6
35.85,10698.2,-65.6,-65.6
35.90,10694.9,-65.6,-65.6
35.95,10691.7,-65.6,-65.6
36.00,10688.4,-65.6,-65.6
36.05,10685.1,-65.6,-65.6
36.10,10681.8,-65.6,-65.6
36.15,10678.5,-65.6,-65.6
36.20,10675.3,-65.6,-65.6
36.25,10672.0,-65.6,-65.6
36.30,10668.7,-65.6,-65.6
36.35,10665.4,-65.6,-65.6
36.40,10662.1,-65.6,-65.6
36.45,10658.9,-65.6,-65.6
36.50,10655.6,-65.6,-65.6
36.55,10652.3,-65.6,-65.6
36.60,10649.0,-65.6,-65.6
36.65,10645.7,-65.6,-65.6
36.70,10642.5,-65.6,-65.6
36.75,10639.2,-65.6,-65.6
36.80,10635.9,-65.6,-65.6
36.85,10632.6,-65.6,-65.6
36.90,10629.3,-65.6,-65.6
36.95,10626.0,-65.6,-65.6
37.00,10622.8,-65.6,-65.6
37.05,10619.5,-65.6,-65.6
37.10,10616.2,-65.6,-65.6
37.15,10612.9,-65.6,-65.6
37.20,10609.6,-65.6,-65.6
37.25,10606.4,-65.6,-65.6
37.30,10603.1,-65.6,-65.6
37.35,10599.8,-65.6,-65.6
37.40,10596.5,-65.6,-65.6
37.45,10593.2,-65.6,-65.6
37.50,10590.0,-65.6,-65.6
37.55,10586.7,-65.6,-65.6
37.60,10583.4,-65.6,-65.6
37.65,10580.1,-65.6,-65.6
37.70,10576.8,-65.6,-65.6
37.75,10573.6,-65.6,-65.6
37.80,10570.3,-65.6,-65.6
37.85,10567.0,-65.6,-65.6
37.90,10563.7,-65.6,-65.6
37.95,10560.4,-65.6,-65.6
38.00,10557.2,-65.6,-65.6
38.05,10553.9,-65.6,-65.6
38.10,10550.6,-65.6,-65.6
38.15,10547.3,-65.6,-65.6
38.20,10544.0,-65.6,-65.6
38.25,10540.7,-65.6,-65.6
38.30,10537.5,-65.6,-65.6
38.35,10534.2,-65.6,-65.6
38.40,10530.9,-65.6,-65.6
38.45,10527.6,-65.6,-65.6
38.50,10524.3,-65.6,-65.6
38.55,10521.1,-65.6,-65.6
38.60,10517.8,-65.6,-65.6
38.65,10514.5,-65.6,-65.6
38.70,10511.2,-65.6,-65.6
38.75,10507.9,-65.6,-65.6
38.80,10504.7,-65.6,-65.6
38.85,10501.4,-65.6,-65.6
38.90,10498.1,-65.6,-65.6
38.95,10494.8,-65.6,-65.6
39.00,10491.5,-65.6,-65.6
39.05,10488.3,-65.6,-65.6
39.10,10485.0,-65.6,-65.6
39.15,10481.7,-65.6,-65.6
39.20,10478.4,-65.6,-65.6
39.25,10475.1,-65.6,-65.6
39.30,10471.9,-65.6,-65.6
39.35,10468.6,-65.6,-65.6
39.40,10465.3,-65.6,-65.6
39.45,10462.0,-65.6,-65.6
39.50,10458.7,-65.6,-65.6
39.55,10455.4,-65.6,-65.6
39.60,10452.2,-65.6,-65.6
39.65,10448.9,-65.6,-65.6
39.70,10445.6,-65.6,-65.6
39.75,10442.3,-65.6,-65.6
39.80,10439.0,-65.6,-65.6
39.85,10435.8,-65.6,-65.6
39.90,10432.5,-65.6,-65.6
39.95,10429.2,-65.6,-65.6
40.00,10425.9,-65.6,-65.6
